"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-16","0.00","90","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-17","0.10","89","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-18","0.00","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-19","0.18","89","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-20","0.03","91","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-21","0.00","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-22","0.00","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-23","0.00","84","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-24","0.00","75","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-25","0.00","83","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-26","0.00","86","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-27","0.00","88","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-28","0.00","88","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-29","0.00","88","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-30","0.00","91","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-01","0.00","89","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-02","0.04","88","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-03","0.00","90","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-04","0.02","88","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-05","0.00","88","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-06","0.00","90","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-07","0.00","92","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-08","0.00","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-09","0.29","76","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-10","0.00","68","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-11","0.00","71","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-12","0.00","77","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-13","0.00","79","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-14","0.00","87","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-15","0.00","87","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-16","0.01","85","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-17","1.58","85","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-18","0.00","76","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-10-19","0.00","71","52"
