"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths"
"410","1996-02",0.14,67.8214285714286,46.9285714285714,57.375,149,1554
"411","1996-03",1.31,68.5714285714286,48.4,58.4857142857143,154,1901
"412","1996-04",1.19,79.2142857142858,58.1071428571428,68.6607142857143,148,1618
"413","1996-05",0.7,86.1785714285714,68.6071428571429,77.3928571428572,133,1463
"414","1996-06",9.35,90.5714285714286,73.4857142857143,82.0285714285714,134,1701
"415","1996-07",0.15,93.6785714285714,76.0714285714286,84.875,90,1382
"416","1996-08",8.65,90.8857142857143,74.6857142857143,82.7857142857143,151,1749
"417","1996-09",6.99,87.8571428571428,72.1071428571428,79.9821428571428,114,1262
"418","1996-10",2.25,79.9285714285714,61.8928571428571,70.9107142857143,128,1493
"419","1996-11",1.53,74.8285714285714,56.5142857142857,65.6714285714286,147,1656
"420","1996-12",1.96,67.3571428571428,48.3928571428572,57.875,127,1418
"421","1997-01",3.27,60.75,47.5,54.125,157,1561
"422","1997-02",9.94,64.5357142857143,47.4285714285714,55.9821428571428,128,1702
"423","1997-03",6.37,72.2857142857143,56.4,64.3428571428571,179,1863
"424","1997-04",7.99,73,56.9285714285714,64.9642857142857,98,1423
"425","1997-05",10.23,82.0857142857143,65.9428571428571,74.0142857142857,118,1596
"426","1997-06",6.08,89.4285714285714,72.9285714285714,81.1785714285714,121,1483
"427","1997-07",1.28,93.9642857142857,76.3928571428571,85.1785714285714,91,1432
"428","1997-08",3.42,93.2285714285714,76.3142857142857,84.7714285714286,128,1787
"429","1997-09",9.26,89.8928571428572,72.8571428571428,81.375,91,1266
"430","1997-10",9.88,81.5714285714286,65.5,73.5357142857143,95,1514
"431","1997-11",2.67,68.0857142857143,51.8571428571429,59.9714285714286,143,1732
"432","1997-12",7.25,64,45.0357142857143,54.5178571428572,120,1450
"433","1998-01",7.47,68.6571428571429,49.6571428571429,59.1571428571429,224,2143
"434","1998-02",4.62,66.3214285714285,49,57.6607142857143,147,1740
"435","1998-03",2.69,70.2142857142857,52.0357142857143,61.125,130,1771
"436","1998-04",0.65,78.8928571428571,59.6071428571428,69.25,123,1447
"437","1998-05",0.21,89.4571428571429,69.5428571428571,79.5,149,1776
"438","1998-06",0.67,95.6071428571429,77.5357142857143,86.5714285714286,100,1439
"439","1998-07",4.03,95.8214285714286,76.4642857142857,86.1428571428572,96,1374
